ins,commission,deposit,ticksize,tradeunit,trademonth,plate,include_option,option_ticksize
AP,5_0_5_0_20_0,0.07,1,10,1_3_4_5_10_11_12,agricultural_products,1,0.5
CF,4.3_0_0_0_0_0,0.05,5,5,1_3_5_7_9_11,agricultural_products,1,1
CJ,3_0_3_0_15_0,0.07,5,5,1_3_5_7_9_12,agricultural_products,1,1
CY,4_0_0_0_0_0,0.05,5,5,1_2_3_4_5_6_7_8_9_10_11_12,agricultural_products,0,0
FG,6_0_6_0_6_0,0.05,1,20,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
JR,3.0_0_3.0_0_3.0_0,0.05,1,20,1_3_5_7_9_11,agricultural_products,0,0
LR,3.0_0_3.0_0_3.0_0,0.05,1,20,1_3_5_7_9_11,agricultural_products,0,0
MA,2_0_2_0_10_0,0.05,1,10,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
OI,2_0_2_0_2_0,0.05,1,10,1_3_5_7_9_11,agricultural_products,1,0.5
PF,3.0_0_3.0_0_3.0_0,0.05,2,5,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
PK,4.0_0_4.0_0_4.0_0,0.05,2,5,1_3_4_5_10_11_12,agricultural_products,1,0.5
PL,0_0.0001_0_0.0001_0_0.0001,0.05,1,20,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
PM,5_0_5_0_5_0,0.05,1,50,1_3_5_7_9_11,agricultural_products,0,0
PR,0_0.0005_0_0.0005_0_0,0.05,2,15,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
PX,0_0.0001_0_0.0001_0_0.0001,0.05,2,5,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
RI,2.5_0_2.5_0_2.5_0,0.05,1,20,1_3_5_7_9_11,agricultural_products,0,0
RM,1.5_0_3.0_0_3.0_0,0.05,1,10,1_3_5_7_8_9_11,agricultural_products,1,0.5
RS,2_0_2_0_2_0,0.05,1,10,7_8_9_11,agricultural_products,0,0
SA,3.5_0_0_0_3.5_0,0.05,1,20,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
SF,3_0_0_0_0_0,0.05,2,5,1_2_3_4_5_6_7_8_9_10_11_12,ferrous_metals,1,1
SH,0_0.0001_0_0.0001_0_0.0001,0.05,1,30,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
SM,3_0_0_0_30_0,0.05,2,5,1_2_3_4_5_6_7_8_9_10_11_12,ferrous_metals,1,1
SR,3_0_0_0_0_0,0.05,1,10,1_3_5_7_9_11,agricultural_products,1,0.5
TA,3_0_0_0_0_0,0.05,2,5,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
UR,5_0_5_0_15_0,0.05,1,20,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
WH,5_0_5_0_5_0,0.05,1,20,1_3_5_7_9_11,agricultural_products,0,0
ZC,30_0_30_0_120_0,0.05,0.2,100,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.1
