ins,commission,deposit,ticksize,tradeunit,trademonth,plate,include_option,option_ticksize
a,2_0_2_0_2_0,0.05,1,10,1_3_5_7_9_11,agricultural_products,1,0.5
b,1_0_1_0_1_0,0.05,1,10,1_2_3_4_5_6_7_8_9_10_11_12,agricultural_products,1,0.5
bb,0_0.0001_0_0.0001_0_0.0001,0.05,0.05,500,1_2_3_4_5_6_7_8_9_10_11_12,agricultural_products,0,0
bz,0_0.0001_0_0.0001_0_0.0001,0.05,1,30,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
c,1.2_0_1.2_0_1.2_0,0.05,1,10,1_3_5_7_9_11,agricultural_products,1,0.5
cs,1.5_0_1.5_0_1.5_0,0.05,1,10,1_3_5_7_9_11,agricultural_products,1,0.5
eb,3_0_3_0_3_0,0.05,1,5,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
eg,3_0_3_0_3_0,0.05,1,10,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
fb,0_0.0001_0_0.0001_0_0.0001,0.05,0.5,10,1_2_3_4_5_6_7_8_9_10_11_12,agricultural_products,0,0
i,0_0.0001_0_0.0001_0_0.0002,0.05,0.5,100,1_2_3_4_5_6_7_8_9_10_11_12,ferrous_metals,1,0.1
j,0_0.0001_0_0.0001_0_0.00014,0.05,0.5,100,1_2_3_4_5_6_7_8_9_10_11_12,ferrous_metals,0,0
jd,0_0.00015_0_0.00015_0_0.00015,0.05,1,10,1_2_3_4_5_6_7_8_9_10_11_12,agricultural_products,1,0.5
jm,0_0.0001_0_0.0001_0_0.00014,0.05,0.5,60,1_2_3_4_5_6_7_8_9_10_11_12,ferrous_metals,0,0
l,1_0_1_0_1_0,0.05,1,5,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
lg,0_0.0001_0_0.0001_0_0.0001,0.05,0.5,90,1_3_5_7_9_11,agricultural_products,1,0.25
lh,0_0.0002_0_0.0002_0_0.0004,0.05,5,16,1_3_5_7_9_11,agricultural_products,1,2.5
m,1.5_0_1.5_0_1.5_0,0.05,1,10,1_3_5_7_8_9_11_12,agricultural_products,1,0.5
p,2.5_0_2.5_0_2.5_0,0.05,2,10,1_2_3_4_5_6_7_8_9_10_11_12,agricultural_products,1,0.5
pg,6_0_6_0_6_0,0.05,1,20,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.2
pp,1_0_1_0_1_0,0.05,1,5,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
rr,1_0_1_0_1_0,0.05,1,10,1_2_3_4_5_6_7_8_9_10_11_12,agricultural_products,0,0
v,1_0_1_0_1_0,0.05,1,5,1_2_3_4_5_6_7_8_9_10_11_12,energy&chemicals,1,0.5
y,2.5_0_2.5_0_2.5_0,0.05,2,10,1_3_5_7_8_9_11_12,agricultural_products,1,0.5
