ins,ticksize,tradeunit
1INCH_USDT,0.0001,1
A8_USDT,0.00001,10
AAVE_USDT,0.01,0.01
ACE_USDT,0.0001,0.1
ACH_USDT,0.00001,11
ACT_USDT,0.00001,10
ACX_USDT,0.0001,1
ADA_USDT,0.0001,10
AERGO_USDT,0.00001,10
AERO_USDT,0.0001,1
AEVO_USDT,0.00001,1
AGI_USDT,0.00001,1
AGLD_USDT,0.0001,1
AGT_USDT,0.000001,100
AI16Z_USDT,0.0001,10
AIOT_USDT,0.00001,10
AIOZ_USDT,0.0001,10
AIXBT_USDT,0.00001,10
AI_USDT,0.00001,1
AKT_USDT,0.0001,1
ALCH_USDT,0.00001,10
ALEO_USDT,0.0001,1
ALGO_USDT,0.00001,10
ALICE_USDT,0.0001,0.1
ALPACA_USDT,0.00001,10
ALPHA_USDT,0.00001,1
ALPINE_USDT,0.0001,1
ALT_USDT,0.00001,1
ALU_USDT,0.00001,10
AMB_USDT,0.0000001,100
AMP_USDT,0.000001,1000
ANIME_USDT,0.000001,10
ANKR_USDT,0.00001,10
APE_USDT,0.0001,1
API3_USDT,0.0001,1
APT_USDT,0.001,0.1
APU_USDT,0.0000001,1000
ARB_USDT,0.0001,1
ARC_USDT,0.00001,10
ARKM_USDT,0.0001,1
ARK_USDT,0.0001,1
ARPA_USDT,0.00001,10
AR_USDT,0.001,0.1
ASR_USDT,0.001,1
ASTR_USDT,0.00001,10
ATA_USDT,0.00001,10
ATH_USDT,0.00001,100
ATOM_USDT,0.001,1
AUCTION_USDT,0.001,0.1
AUDIO_USDT,0.00001,1
AVAAI_USDT,0.00001,10
AVAIL_USDT,0.00001,10
AVAX_USDT,0.01,1
AVA_USDT,0.0001,1
AVL_USDT,0.0001,10
AWE_USDT,0.00001,100
AXS_USDT,0.001,0.1
A_USDT,0.0001,1
B2_USDT,0.0001,10
B3_USDT,0.000001,1000
BABY_USDT,0.00001,100
BADGER_USDT,0.0001,0.1
BAIDOGE_USDT,0.00001,10
BAKE_USDT,0.0001,0.1
BAL_USDT,0.0001,0.1
BANANAS31_USDT,0.000001,1000
BANANA_USDT,0.01,0.1
BAND_USDT,0.0001,0.1
BANK_USDT,0.00001,100
BAN_USDT,0.00001,10
BAT_USDT,0.00001,10
