ins,shares,plate
NVDA,24300000000,technology
MSFT,7433166379,technology
AAPL,14840390000,technology
GOOG,12094000000,technology
GOOGL,12094000000,technology
AMZN,10664912096,consumer_discretionary
META,2512141475,technology
AVGO,4703470978,technology
TSLA,3225448889,industrials
NFLX,424926346,consumer_discretionary
COST,443477085,consumer_discretionary
PLTR,2372342420,technology
ASML,393283720,technology
TMUS,1125419037,telecommunications
CSCO,3953196953,telecommunications
AZN,3101385926,health_care
AMD,1622843688,technology
LIN,468909531,basic_materials
PEP,1369077204,consumer_staples
SHOP,1299368183,technology
INTU,278805000,technology
APP,338249914,technology
BKNG,32409885,consumer_discretionary
PDD,1419646462,technology
QCOM,1079000000,technology
TXN,909137169,technology
ISRG,358476506,health_care
ADBE,424200000,technology
AMGN,538361851,health_care
ARM,1059263999,technology
MU,1119125100,technology
GILD,1240806915,health_care
HON,634896562,industrials
LRCX,1265621000,technology
PANW,668900000,technology
AMAT,796642426,technology
CMCSA,3692206502,telecommunications
ADI,491955435,technology
ADP,405043141,industrials
KLAC,131961370,technology
MELI,50697375,real_estate
SNY,2526245442,health_care
CRWD,250955139,technology
INTC,4377000000,technology
DASH,427194831,technology
IBKR,1699820391,finance
HOOD,882468960,finance
VRTX,256390651,health_care
CDNS,272490000,technology
SBUX,1136700000,consumer_discretionary
CME,360377041,finance
SNPS,155160937,technology
MSTR,283552946,technology
CEG,312405579,utilities
NTES,633198284,technology
ORLY,848496680,consumer_discretionary
CTAS,402977925,industrials
MDLZ,1293945411,consumer_staples
TRI,450680705,consumer_discretionary
COIN,256938156,finance
ABNB,621435669,consumer_discretionary
EQIX,97863986,real_estate
MAR,271457839,consumer_discretionary
ADSK,213000000,technology
PYPL,955378404,industrials
WDAY,267000000,technology
FTNT,766266033,technology
MNST,976428189,consumer_staples
CSX,1864277013,industrials
ALNY,131079014,health_care
REGN,105987441,health_care
AXON,78504439,industrials
AEP,534794763,utilities
MRVL,862100000,technology
NXPI,252114595,technology
ROP,107613823,technology
FAST,1147636616,consumer_discretionary
NDAQ,573795242,finance
IDXX,80004693,health_care
PCAR,525103392,consumer_discretionary
ROST,327070521,consumer_discretionary
PAYX,360243876,industrials
JD,1453294472,consumer_discretionary
TCOM,653270716,real_estate
DDOG,348745125,technology
CPRT,966936214,consumer_discretionary
ARGX,60990857,health_care
TTWO,184470211,consumer_discretionary
CRWV,488572387,technology
TEAM,262334535,technology
BKR,985879123,consumer_discretionary
ZS,155695671,technology
EXC,1009987294,utilities
KMB,331779938,consumer_discretionary
EBAY,457000000,real_estate
XEL,591426177,utilities
EA,250207302,consumer_discretionary
MPWR,47892000,technology
CCEP,455114527,consumer_staples
FER,720186092,industrials
STX,212677178,technology
FANG,289486120,energy
VRSK,139714970,industrials
ONC,110028691,health_care
HBANL,1458800042,finance
KDP,1358435279,consumer_staples
BIDU,343770895,technology
CSGP,423650362,real_estate
CHTR,136590985,telecommunications
ALAB,166219140,technology
GEHC,456562037,health_care
MCHP,539679666,technology
UAL,323732093,consumer_discretionary
CTSH,488395936,technology
ACGL,373220295,finance
HBANM,1458800042,finance
WTW,97547991,finance
WDC,346922126,technology
MCHPP,539679667,technology
TSCO,529951668,consumer_discretionary
KHC,1183599215,consumer_staples
ODFL,210168136,industrials
RYAAY,529673823,consumer_discretionary
STRF,283552946,technology
SOFI,1197450100,finance
INSM,211374785,health_care
DXCM,392155265,health_care
WBD,2475772282,consumer_discretionary
FITB,661887238,finance
VOD,2410079657,telecommunications
TW,236449413,finance
SYM,590493304,industrials
AFRM,325650313,finance
FOXA,445535958,industrials
STRC,283552946,technology
HBANP,1458800042,finance
LPLA,80004103,finance
EXPE,123715583,consumer_discretionary
AGNCN,1041732565,real_estate
