ins,shares,plate
700,9172870813,information_technology
9988,19072586328,consumer_discretionary
941,21620979827,telecommunication_services
939,240416774193,financials
5,17324707031,financials
1810,26025800711,information_technology
883,47529791459,energy
1299,10504405874,financials
9999,3455107526,information_technology
3690,6111088810,consumer_discretionary
388,1267829457,financials
1398,86792869269,financials
981,7987124463,information_technology
2318,7447552447,financials
9618,3179607843,consumer_discretionary
2388,10572660742,financials
1211,3683380547,consumer_discretionary
9992,1342921582,consumer_discretionary
9961,683514719,consumer_discretionary
3988,83620137299,financials
267,29089539748,conglomerates
2888,2305638586,financials
1698,3432154006,consumer_discretionary
6160,1540952380,health_care
1024,4319259766,consumer_discretionary
9888,2828840716,consumer_discretionary
762,30597713097,telecommunication_services
16,2897754010,real_estate&construction
2020,2807120418,consumer_discretionary
2378,2570644850,financials
9633,5034522661,consumer_staples
3328,35011713030,financials
3692,6055038759,health_care
1109,7130812151,real_estate&construction
1378,9571368948,materials
3968,4590890096,financials
11,1879982743,financials
6618,3201341281,health_care
2015,2140799158,consumer_discretionary
1,3830009680,conglomerates
175,10117864693,consumer_discretionary
2423,3572038834,real_estate&construction
27,4374759152,consumer_discretionary
669,1830522503,consumer_discretionary
2899,5988565488,materials
1801,1712685827,health_care
2628,7440969162,financials
1288,30737132352,financials
1177,18760674157,health_care
66,6224621212,consumer_discretionary
2,2526307692,utilities
1928,8093139709,consumer_discretionary
1929,9864731315,consumer_discretionary
688,10944674965,real_estate&construction
857,21098782138,energy
9868,1906493506,consumer_discretionary
2269,4080722251,health_care
9660,13880859375,information_technology
992,12404255319,information_technology
1038,2519465648,utilities
1113,3499733617,real_estate&construction
12,4841346153,real_estate&construction
3,18658571428,utilities
9926,921127765,health_care
1093,11521582733,health_care
9987,367563657,consumer_discretionary
2328,6899072558,financials
1088,3377297297,energy
1972,5757448789,real_estate&construction
2057,804453441,industrials
6969,6192307692,consumer_discretionary
1913,2558797718,consumer_discretionary
241,16123249299,health_care
1658,19856152512,financials
6181,139473684,consumer_discretionary
288,12830011723,consumer_staples
6,2131061343,utilities
1876,13242718446,consumer_staples
998,14881780250,financials
412,6018954623,financials
386,23945107398,energy
836,5176995798,utilities
1209,2282433712,real_estate&construction
1179,3265187713,consumer_discretionary
285,2253086419,information_technology
83,9150050352,real_estate&construction
2313,1503075644,consumer_discretionary
291,3243884892,consumer_staples
2618,6654600301,industrials
6823,7579310344,telecommunication_services
1519,8904179408,industrials
1530,2432033426,health_care
2601,2775223499,financials
2382,1094803548,industrials
316,660322333,industrials
6990,162769818,health_care
1818,2881478921,materials
9866,1719037656,consumer_discretionary
1347,1733517652,information_technology
1308,2699665551,industrials
728,13877192982,telecommunication_services
960,6986607142,real_estate&construction
2268,1204798761,health_care
9626,420822065,consumer_discretionary
20,38670050761,information_technology
6030,2619889119,financials
