ins,commission,deposit,ticksize,tradeunit,trademonth,plate,include_option,option_ticksize
ad,0_1e-04_0_1e-04_0_1e-04,0.1,5,30,1_2_3_4_5_6_7_8_9_10_11_12,nonferrous_metals,1,1
ag,0_1e-05_0_1e-05_0_5e-05,0.12,1,15,1_2_3_4_5_6_7_8_9_10_11_12,precious_metals,1,0.5
al,3_0_3_0_3_0,0.1,5,5,1_2_3_4_5_6_7_8_9_10_11_12,nonferrous_metals,1,1
ao,0_1e-05_0_0_0_0,0.09,1,20,1_2_3_4_5_6_7_8_9_10_11_12,nonferrous_metals,0,0
au,2_0_0_0_10_0,0.08,0.02,1000,2_4_6_8_10_12,precious_metals,1,0.02
br,0_1e-05_0_0_0_0,0.12,5,5,1_2_3_4_5_6_7_8_9_10_11_12,chemical_industry,1,1
bu,0_1e-05_0_1e-05_0_1e-05,0.1,1,10,1_2_3_4_5_6_7_8_9_10_11_12,oil,0,0
cu,0_5e-05_0_5e-05_0_0.0001,0.1,10,5,1_2_3_4_5_6_7_8_9_10_11_12,nonferrous_metals,1,2
fu,0_1e-05_0_0_0_5e-05,0.1,1,10,1_2_3_4_5_6_7_8_9_10_11_12,oil,0,0
hc,0_1e-05_0_1e-05_0_3e-05,0.1,1,10,1_2_3_4_5_6_7_8_9_10_11_12,black_metals,0,0
ni,3_0_3_0_15_0,0.1,10,1,1_2_3_4_5_6_7_8_9_10_11_12,nonferrous_metals,0,0
pb,0_4e-05_0_0_0_0,0.1,5,5,1_2_3_4_5_6_7_8_9_10_11_12,nonferrous_metals,0,0
rb,0_1e-05_0_1e-05_0_3e-05,0.1,1,10,1_2_3_4_5_6_7_8_9_10_11_12,black_metals,1,0.5
ru,3_0_0_0_9_0,0.1,5,10,1_3_4_5_6_7_8_9_10_11,chemical_industry,1,1
sn,3_0_0_0_3_0,0.1,10,1,1_2_3_4_5_6_7_8_9_10_11_12,nonferrous_metals,0,0
sp,0_5e-05_0_0_0_0.00025,0.09,2,10,1_2_3_4_5_6_7_8_9_10_11_12,light_industry,0,0
ss,2_0_0_0_0_0,0.09,5,5,1_2_3_4_5_6_7_8_9_10_11_12,black_metals,0,0
wr,4e-05_0_0_0_0_0,0.1,1,10,1_2_3_4_5_6_7_8_9_10_11_12,black_metals,0,0
zn,3_0_3_0_3_0,0.1,5,5,1_2_3_4_5_6_7_8_9_10_11_12,nonferrous_metals,1,1
